exit_reason,minutes_to_exit,mfe_r,mae_r,r_final,r_at_60min,r_at_120min,r_at_240min,r_at_480min,r_at_720min,action
TIMEOUT,720.0,0.1522863980415394,-0.8888839910301453,-0.6888030926801851,0.12089197136836777,-0.2380353544772336,-0.7028602986532588,-0.5861854890768174,-0.6888030926801851,LONG
SL,638.0,0.17370367606399084,-1.0987631858410172,-1.0,-0.13931267979629294,-0.14922194990733015,-0.7198793286544622,-0.5630797016034079,-1.0,LONG
SL,74.0,0.14380025463296167,-1.013021436655529,-1.0,-0.3768337029891001,-1.0,-1.0,-1.0,-1.0,LONG
SL,203.0,0.03628749223410808,-1.1073537952733037,-1.0,-0.3371225084975657,-0.4026741073721153,-1.0,-1.0,-1.0,LONG
SL,38.0,0.09002059301824024,-1.135974149991889,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,LONG
SL,187.0,0.29374787578314343,-1.222841835839316,-1.0,-0.27115188533827694,0.04917950861526209,-1.0,-1.0,-1.0,LONG
SL,68.0,1.3928030418682595,-2.2850907660169706,-1.0,1.1499935276174167,-1.0,-1.0,-1.0,-1.0,LONG
SL,37.0,0.24492849687803062,-1.098645613399922,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,LONG
TIMEOUT,720.0,0.163358598193539,-0.82618972449211,-0.2616628873719615,-0.14456513114472536,-0.0028913026229083127,-0.11276080229289827,-0.5623583601529961,-0.2616628873719615,LONG
SL,395.0,0.04128572597172689,-1.0183812406357438,-1.0,-0.2781871535713425,-0.17595583211756388,-0.4934627247096008,-1.0,-1.0,LONG
SL,217.0,0.10745295082313774,-1.0920490110828789,-1.0,-0.1284763542450352,-0.4204680684383212,-1.0,-1.0,-1.0,LONG
SL,157.0,0.11036607441513449,-1.042191031818918,-1.0,-0.2388936547466996,-0.3883768188279557,-1.0,-1.0,-1.0,LONG
SL,135.0,0.25331386567018677,-1.014639691454963,-1.0,-0.11212253070650449,-0.41526863224622435,-1.0,-1.0,-1.0,SHORT
TP,405.0,2.0182335987503865,-0.2733198267506906,2.0000000000000377,0.39498048134089475,0.36498196377068826,1.073280295289203,2.0000000000000377,2.0000000000000377,SHORT
SL,525.0,1.683874748823529,-1.090985379739262,-1.0,0.005170546823443369,0.13615773301646683,1.03927991150522,0.4446670268131906,-1.0,SHORT
SL,155.0,0.7399972725239884,-1.1022729770992432,-1.0,-0.3819340761413701,-0.2696005243350829,-1.0,-1.0,-1.0,SHORT
SL,75.0,0.17966404503037017,-1.033636816029219,-1.0,-0.45143434099405527,-1.0,-1.0,-1.0,-1.0,SHORT
SL,105.0,0.3085170988155084,-1.0914207044117654,-1.0,-0.04754923028337241,-1.0,-1.0,-1.0,-1.0,SHORT
TP,485.0,2.2768565022250558,-0.5584742363948251,2.0,0.10052536255107476,0.02835330738619256,0.15980955072220288,1.143583397910014,2.0,SHORT
TP,362.0,2.34973333964358,-0.7036448629322345,2.0,-0.5355583635497332,0.2654607473006274,0.16344963043402283,2.0,2.0,SHORT
